Timestamp,Exploration_Rate,Low_Load_Good_Balance_Q(RR),Low_Load_Good_Balance_Q(ACO),Low_Load_Excellent_Balance_Q(RR),Low_Load_Excellent_Balance_Q(ACO),Medium_Load_Good_Balance_Q(RR),Medium_Load_Good_Balance_Q(ACO),Medium_Load_Excellent_Balance_Q(RR),Medium_Load_Excellent_Balance_Q(ACO),High_Load_Good_Balance_Q(RR),High_Load_Good_Balance_Q(ACO),High_Load_Excellent_Balance_Q(RR),High_Load_Excellent_Balance_Q(ACO)
2025-10-27 23:45:27,0.7841,44.3072,1.5,-24.3684,-32.2477,0.0463,-21.7407,19.1034,43.1964,1.0,50.0,1.5,60.0
2025-10-27 23:45:27,0.7841,44.3072,1.5,-25.6192,-32.2477,0.0463,-21.7407,19.1034,43.1964,1.0,50.0,1.5,60.0
2025-10-27 23:45:27,0.7841,44.3072,1.5,-26.7949,-32.2477,0.0463,-21.7407,19.1034,43.1964,1.0,50.0,1.5,60.0
2025-10-27 23:45:27,0.7841,44.3072,1.5,-26.7949,-36.1663,0.0463,-21.7407,19.1034,43.1964,1.0,50.0,1.5,60.0
2025-10-27 23:45:27,0.7841,44.3072,1.5,-27.9001,-36.1663,0.0463,-21.7407,19.1034,43.1964,1.0,50.0,1.5,60.0
2025-10-27 23:45:27,0.7841,44.3072,1.5,-28.9389,-36.1663,0.0463,-21.7407,19.1034,43.1964,1.0,50.0,1.5,60.0
2025-10-27 23:45:27,0.7841,44.3072,1.5,-29.9154,-36.1663,0.0463,-21.7407,19.1034,43.1964,1.0,50.0,1.5,60.0
2025-10-27 23:45:27,0.7841,44.3072,1.5,-30.8334,-36.1663,0.0463,-21.7407,19.1034,43.1964,1.0,50.0,1.5,60.0
2025-10-27 23:45:27,0.7841,44.3072,1.5,-31.6962,-36.1663,0.0463,-21.7407,19.1034,43.1964,1.0,50.0,1.5,60.0
2025-10-27 23:45:27,0.7841,44.3072,1.5,-32.5073,-36.1663,0.0463,-21.7407,19.1034,43.1964,1.0,50.0,1.5,60.0
2025-10-27 23:45:27,0.7841,44.3072,1.5,-33.2697,-36.1663,0.0463,-21.7407,19.1034,43.1964,1.0,50.0,1.5,60.0
2025-10-27 23:45:27,0.7841,44.3072,1.5,-33.9864,-36.1663,0.0463,-21.7407,19.1034,43.1964,1.0,50.0,1.5,60.0
2025-10-27 23:45:27,0.7841,44.3072,1.5,-34.6601,-36.1663,0.0463,-21.7407,19.1034,43.1964,1.0,50.0,1.5,60.0
2025-10-27 23:45:27,0.7841,44.3072,1.5,-35.2933,-36.1663,0.0463,-21.7407,19.1034,43.1964,1.0,50.0,1.5,60.0
2025-10-27 23:45:27,0.7841,44.3072,1.5,-35.2933,-42.5678,0.0463,-21.7407,19.1034,43.1964,1.0,50.0,1.5,60.0
2025-10-27 23:45:27,0.7841,44.3072,1.5,-35.8886,-42.5678,0.0463,-21.7407,19.1034,43.1964,1.0,50.0,1.5,60.0
